File: weaviate
Type: inuse_space
Time: Mar 7, 2024 at 1:06pm (CET)
Showing nodes accounting for 1008.15MB, 94.12% of 1071.12MB total
Dropped 276 nodes (cum <= 5.36MB)
         0     0% 94.12%    47.51MB  4.44%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Bucket).RoaringSetAddOne
         0     0% 94.12%       15MB  1.40%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Bucket).SetAdd
         0     0% 94.12%    11.50MB  1.07%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).append
         0     0% 94.12%    41.06MB  3.83%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).appendMapSorted
         0     0% 94.12%    61.01MB  5.70%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).roaringSetAddList
         0     0% 94.12%    47.51MB  4.44%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*Memtable).roaringSetAddOne (inline)
         0     0% 94.12%    30.65MB  2.86%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*SegmentGroup).compactIfLevelsMatch
         0     0% 94.12%    30.65MB  2.86%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*SegmentGroup).compactOnce
         0     0% 94.12%    40.06MB  3.74%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchTreeMap).insert
         0     0% 94.12%    11.50MB  1.07%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchTreeMulti).insert
         0     0% 94.12%    30.01MB  2.80%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*compactorReplace).do
         0     0% 94.12%    23.62MB  2.20%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*segmentCursorReplace).nextWithAllKeys
         0     0% 94.12%    23.62MB  2.20%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*segmentCursorReplace).parseReplaceNode
         0     0% 94.12%    75.01MB  7.00%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.(*BinarySearchTree).Insert
         0     0% 94.12%   245.05MB 22.88%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.NewBitmap
         0     0% 94.12%     9.20MB  0.86%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*quantizedVectorsCompressor[go.shape.uint64]).GrowCache
         0     0% 94.12%    72.01MB  6.72%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.(*quantizedVectorsCompressor[go.shape.uint64]).Preload
         0     0% 94.12%   313.63MB 29.28%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).Add
         0     0% 94.12%   183.67MB 17.15%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).findAndConnectNeighbors
         0     0% 94.12%     7.44MB  0.69%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).findBestEntrypointForNode
         0     0% 94.12%    12.97MB  1.21%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).growIndexToAccomodateNode
         0     0% 94.12%    11.08MB  1.03%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).selectNeighborsHeuristic
         0     0% 94.12%   183.67MB 17.15%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).Do
         0     0% 94.12%   168.60MB 15.74%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).connectNeighborAtLevel
         0     0% 94.12%     6.44MB   0.6%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw/visited.(*Pool).Borrow
         0     0% 94.12%    32.49MB  3.03%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).CycleCallback
         0     0% 94.12%    32.49MB  3.03%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackParallel.func1
         0     0% 94.12%    32.49MB  3.03%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackParallel.func1.1
         0     0% 94.12%    32.49MB  3.03%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackSequential
         0     0% 94.12%    32.49MB  3.03%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackSequential.func1
         0     0% 94.12%       70MB  6.54%  github.com/weaviate/weaviate/grpc/generated/protocol/v1._Weaviate_BatchObjects_Handler
         0     0% 94.12%     5.58MB  0.52%  github.com/weaviate/weaviate/usecases/objects.(*BatchManager).AddObjects
         0     0% 94.12%     5.58MB  0.52%  github.com/weaviate/weaviate/usecases/objects.(*BatchManager).addObjects
         0     0% 94.12%     5.50MB  0.51%  github.com/weaviate/weaviate/usecases/objects.(*BatchManager).validateObjectsConcurrently.func1
         0     0% 94.12%     5.50MB  0.51%  golang.org/x/sync/errgroup.(*Group).Go.func1
         0     0% 94.12%    85.13MB  7.95%  google.golang.org/grpc.(*Server).handleStream
         0     0% 94.12%    85.13MB  7.95%  google.golang.org/grpc.(*Server).processUnaryRPC
         0     0% 94.12%    17.08MB  1.59%  google.golang.org/grpc.(*Server).processUnaryRPC.func2
         0     0% 94.12%    85.13MB  7.95%  google.golang.org/grpc.(*Server).serveStreams.func1.1
         0     0% 94.12%    15.13MB  1.41%  google.golang.org/grpc.(*parser).recvMsg
         0     0% 94.12%    15.13MB  1.41%  google.golang.org/grpc.recvAndDecompress
         0     0% 94.12%    17.08MB  1.59%  google.golang.org/grpc/encoding/proto.codec.Unmarshal
         0     0% 94.12%    18.08MB  1.69%  google.golang.org/protobuf/internal/impl.(*MessageInfo).unmarshal
         0     0% 94.12%    18.08MB  1.69%  google.golang.org/protobuf/internal/impl.(*MessageInfo).unmarshalPointer
         0     0% 94.12%    16.58MB  1.55%  google.golang.org/protobuf/internal/impl.consumeMessageSliceInfo
         0     0% 94.12%    18.58MB  1.73%  google.golang.org/protobuf/proto.UnmarshalOptions.UnmarshalState
         0     0% 94.12%    18.58MB  1.73%  google.golang.org/protobuf/proto.UnmarshalOptions.unmarshal
         0     0% 94.12%    10.94MB  1.02%  main.main
         0     0% 94.12%    39.72MB  3.71%  runtime.doInit (inline)
         0     0% 94.12%    39.72MB  3.71%  runtime.doInit1
         0     0% 94.12%    50.66MB  4.73%  runtime.main
